"S0","E0","Is0","Ia0","R0","D0"
26446416.0068898,1.05415385901171,4.20474857630989,13.7342077353408,1e-10,1e-10
26446420.5019453,5.72054362834288,2.31888087646394,6.45863023319742,1e-10,1e-10
26446413.496318,12.4487848859124,1.50048671241023,7.554410404271,1e-10,1e-10
26446425.982861,1.48660648670135,3.38631133527166,4.1442212107012,1e-10,1e-10
26446409.5892807,12.8289208970932,4.78046762796973,7.80133076487739,1e-10,1e-10
26446423.3380439,7.14719744622402,3.29623387044473,1.21852476093326,1e-10,1e-10
26446420.3539603,5.63034927999089,3.38813340467729,5.62755702273653,1e-10,1e-10
26446429.7971721,2.86628054564925,1.24652984717693,1.09001753428561,1e-10,1e-10
26446425.5891523,3.08034805801416,3.27401641111368,3.05648326078431,1e-10,1e-10
26446412.2448175,6.7426368185778,1.30573967136462,14.7068059653328,1e-10,1e-10
26446418.2975594,12.3065025870963,1.66447098905347,2.73146704867098,1e-10,1e-10
26446427.2347614,2.09857370408304,1.14471433838874,4.5219505928536,1e-10,1e-10
26446419.9153,10.7321189703991,1.21531518229053,3.13726583141469,1e-10,1e-10
26446416.637214,2.30367386668712,4.08421775674266,11.9748944144819,1e-10,1e-10
26446416.574439,7.5307483369107,2.84496316925808,8.04984951230834,1e-10,1e-10
26446425.3366948,2.53866427747516,4.37402524700707,2.75061570488097,1e-10,1e-10
26446420.4819653,5.50448777002223,3.92137985394029,5.09216703554822,1e-10,1e-10
26446417.1313703,10.7402775891678,3.04616383186157,4.08218831900536,1e-10,1e-10
26446420.4285647,10.2236052924427,3.31584007681785,1.03198990891727,1e-10,1e-10
26446421.6114066,1.17529942240877,4.40835697877105,7.80493700290934,1e-10,1e-10
26446428.915848,1.62438219513631,1.81397313640125,2.64579668931819,1e-10,1e-10
26446418.5991716,9.76201523529602,1.66712116985412,4.97169201088108,1e-10,1e-10
26446420.4224813,7.54264118986237,3.4636103298784,3.57126714236051,1e-10,1e-10
26446422.4477672,1.86113315138329,1.5693082304684,9.1217914107094,1e-10,1e-10
26446427.5750474,3.81986202992578,1.10614188876319,2.49894864456633,1e-10,1e-10
26446418.9632767,5.85136549737992,3.19936963771254,6.98598815529861,1e-10,1e-10
26446421.4091923,2.82730234464654,3.21736439820035,7.54614098441895,1e-10,1e-10
26446417.9590861,10.6343802529434,1.56592664583515,4.84060696858213,1e-10,1e-10
26446413.2393148,13.4715473195536,1.66901681937297,6.62012104940729,1e-10,1e-10
26446418.3806376,8.39179650583076,2.00275511293437,6.22481080520886,1e-10,1e-10
26446426.0390613,3.58961128952346,2.86567399462236,2.50565338803221,1e-10,1e-10
26446427.0090555,2.58822372937692,3.66743751195729,1.73528325944149,1e-10,1e-10
26446420.8386195,11.7418993508458,1.09966158466225,1.31981951531264,1e-10,1e-10
26446420.7860654,6.65200291692716,1.00631323958012,6.55561839827674,1e-10,1e-10
26446422.0586668,3.12304957567641,1.67677698683283,8.14150663029222,1e-10,1e-10
26446415.7948846,8.92753096145857,2.67433853817852,7.60324593420486,1e-10,1e-10
26446427.9323324,2.21580711969361,3.65260542218204,1.19925507210463,1e-10,1e-10
26446418.9337772,10.3720380923567,3.78521624041932,1.90896843721819,1e-10,1e-10
26446419.5682456,8.84130296485932,1.04791966574147,5.54253177080865,1e-10,1e-10
26446425.5846684,4.37173230800163,3.76870074428279,1.2748985762061,1e-10,1e-10
26446419.0636348,7.36117971458386,1.15591236566764,7.41927310966912,1e-10,1e-10
26446417.922461,9.27629177873597,2.134729151483,5.66651810545529,1e-10,1e-10
26446418.7982154,5.00491045065866,2.01436972129366,9.18250442431392,1e-10,1e-10
26446424.6033308,4.83638348013876,3.32832364615205,2.23196203362874,1e-10,1e-10
26446422.4727539,2.39126405850434,1.78315424838031,8.35282777727729,1e-10,1e-10
26446422.6183062,4.5882781726461,2.0783784744028,5.7150371924916,1e-10,1e-10
26446420.35871,11.8536256287795,1.18386088033889,1.60380347902937,1e-10,1e-10
26446423.9341023,2.4382340564074,2.87160489325092,5.75605872652905,1e-10,1e-10
26446413.9226893,5.37915336425634,3.80630068209963,11.8918566676001,1e-10,1e-10
26446421.0974577,8.69606811076692,3.93350167857431,1.27297253882357,1e-10,1e-10
26446417.2918057,13.5170084958317,1.9050915533157,2.28609426382675,1e-10,1e-10
26446419.2327679,6.40762961999745,4.49484121372374,4.86476121886168,1e-10,1e-10
26446423.8992831,6.05423971559594,2.85504616616706,2.19143101887112,1e-10,1e-10
26446421.1336386,1.60461647231212,1.59490401354481,10.666840933021,1e-10,1e-10
26446426.4183409,5.17756307671187,1.80599138033791,1.59810464214971,1e-10,1e-10
26446422.2144704,8.27844476487155,1.93232399913227,2.5747607853198,1e-10,1e-10
