Time,Is,D
50.808,12.984,197.2799
50.954,12.9749,197.2992
51.1,12.9659,197.3185
51.246,12.9569,197.3377
51.392,12.9479,197.357
51.538,12.939,197.3762
51.684,12.9302,197.3954
51.83,12.9214,197.4146
51.976,12.9126,197.4338
52.122,12.9039,197.453
52.268,12.8952,197.4722
52.414,12.8866,197.4913
52.56,12.878,197.5105
52.706,12.8695,197.5296
52.852,12.861,197.5487
52.998,12.8525,197.5678
53.144,12.8441,197.5869
53.29,12.8358,197.606
53.436,12.8275,197.625
53.582,12.8192,197.6441
53.728,12.811,197.6631
53.874,12.8028,197.6821
54.02,12.7947,197.7012
54.166,12.7866,197.7202
54.312,12.7786,197.7392
54.458,12.7706,197.7581
54.604,12.7627,197.7771
54.75,12.7548,197.7961
54.896,12.747,197.815
55.042,12.7392,197.8339
55.188,12.7314,197.8528
55.334,12.7237,197.8718
55.48,12.7161,197.8907
55.626,12.7085,197.9095
55.772,12.7009,197.9284
55.918,12.6934,197.9473
56.064,12.6859,197.9661
56.21,12.6785,197.985
56.356,12.6711,198.0038
56.502,12.6638,198.0226
56.648,12.6565,198.0414
56.794,12.6493,198.0602
56.94,12.6421,198.079
57.086,12.6349,198.0978
57.232,12.6278,198.1166
57.378,12.6208,198.1353
57.524,12.6138,198.1541
57.67,12.6068,198.1728
57.816,12.5999,198.1915
57.962,12.593,198.2102
58.108,12.5862,198.2289
58.254,12.5794,198.2476
58.4,12.5727,198.2663
58.546,12.566,198.285
58.692,12.5594,198.3037
58.838,12.5528,198.3223
58.984,12.5463,198.3409
59.13,12.5398,198.3596
59.276,12.5333,198.3782
59.422,12.5269,198.3968
59.568,12.5206,198.4154
59.714,12.5143,198.434
59.86,12.508,198.4526
60.006,12.5018,198.4712
60.152,12.4956,198.4898
60.298,12.4895,198.5083
60.444,12.4834,198.5269
60.59,12.4774,198.5454
60.736,12.4714,198.5639
60.882,12.4655,198.5825
61.028,12.4596,198.601
61.174,12.4537,198.6195
61.32,12.448,198.638
61.466,12.4422,198.6565
61.612,12.4365,198.675
61.758,12.4308,198.6934
61.904,12.4252,198.7119
62.05,12.4196,198.7304
62.196,12.4141,198.7488
62.342,12.4086,198.7672
62.488,12.4032,198.7857
62.634,12.3978,198.8041
62.78,12.3925,198.8225
62.926,12.3872,198.8409
63.072,12.382,198.8593
63.218,12.3767,198.8777
63.364,12.3716,198.8961
63.51,12.3665,198.9145
63.656,12.3614,198.9328
63.802,12.3564,198.9512
63.948,12.3514,198.9695
64.094,12.3465,198.9879
64.24,12.3416,199.0062
64.386,12.3368,199.0246
64.532,12.332,199.0429
64.678,12.3272,199.0612
64.824,12.3225,199.0795
64.97,12.3179,199.0978
65.116,12.3133,199.1161
65.262,12.3087,199.1344
65.408,12.3042,199.1527
65.554,12.2997,199.171
65.7,12.2953,199.1892
65.846,12.2909,199.2075
65.992,12.2866,199.2258
66.138,12.2823,199.244
66.284,12.278,199.2623
66.43,12.2738,199.2805
66.576,12.2697,199.2987
66.722,12.2656,199.3169
66.868,12.2615,199.3352
67.014,12.2575,199.3534
67.16,12.2535,199.3716
67.306,12.2496,199.3898
67.452,12.2457,199.408
67.598,12.2418,199.4262
67.744,12.238,199.4444
67.89,12.2343,199.4625
68.036,12.2306,199.4807
68.182,12.2269,199.4989
68.328,12.2233,199.517
68.474,12.2197,199.5352
68.62,12.2162,199.5534
68.766,12.2127,199.5715
68.912,12.2093,199.5896
69.058,12.2059,199.6078
69.204,12.2025,199.6259
69.35,12.1992,199.644
69.496,12.196,199.6622
69.642,12.1927,199.6803
69.788,12.1896,199.6984
69.934,12.1864,199.7165
70.08,12.1834,199.7346
70.226,12.1803,199.7527
70.372,12.1773,199.7708
70.518,12.1744,199.7889
70.664,12.1715,199.807
70.81,12.1686,199.825
70.956,12.1658,199.8431
71.102,12.163,199.8612
71.248,12.1603,199.8793
71.394,12.1576,199.8973
71.54,12.1549,199.9154
71.686,12.1523,199.9334
71.832,12.1498,199.9515
71.978,12.1473,199.9695
72.124,12.1448,199.9876
72.27,12.1424,200.0056
72.416,12.14,200.0237
72.562,12.1376,200.0417
72.708,12.1354,200.0597
72.854,12.1331,200.0778
73,12.1309,200.0958
73.146,12.1287,200.1138
73.292,12.1266,200.1318
73.438,12.1245,200.1498
73.584,12.1225,200.1678
73.73,12.1205,200.1859
73.876,12.1186,200.2039
74.022,12.1167,200.2219
74.168,12.1148,200.2399
74.314,12.113,200.2579
74.46,12.1112,200.2758
74.606,12.1095,200.2938
74.752,12.1078,200.3118
74.898,12.1062,200.3298
75.044,12.1046,200.3478
75.19,12.103,200.3658
75.336,12.1015,200.3838
75.482,12.1,200.4017
75.628,12.0986,200.4197
75.774,12.0972,200.4377
75.92,12.0959,200.4557
76.066,12.0946,200.4736
76.212,12.0933,200.4916
76.358,12.0921,200.5096
76.504,12.091,200.5275
76.65,12.0898,200.5455
76.796,12.0888,200.5635
76.942,12.0877,200.5814
77.088,12.0867,200.5994
77.234,12.0858,200.6173
77.38,12.0849,200.6353
77.526,12.084,200.6532
77.672,12.0832,200.6712
77.818,12.0824,200.6891
77.964,12.0817,200.7071
78.11,12.081,200.725
78.256,12.0803,200.743
78.402,12.0797,200.7609
78.548,12.0791,200.7789
78.694,12.0786,200.7968
